"Job Name","Post Person Jobs","Provider","Salary Min","Salary Max","Job Type"
"倉庫内・軽作業／倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-047","シフトワークス","￥1,140","",""
"倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-018","らくらくアルバイト","￥1,140","","パートタイム"
"倉庫スタッフ","ファイズオペレーションズ株式会社 流山事業所","ニフティアルバイト - @Nifty","￥1,140","","パートタイム"
"配送・物流・在庫管理スタッフ","ジョブポスト","ジョブポスト","","","パートタイム"
"倉庫内・軽作業／倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-191","シフトワークス","￥1,140","",""
"倉庫管理","ユニオン化学株式会社","engage","￥985","￥1,200","パートタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-280","らくらくアルバイト","￥1,140","","パートタイム"
"倉庫内での仕分けやピッキング/検品作業スタッフ","株式会社 清長","清長","￥950","","フルタイム"
"配送・物流・在庫管理スタッフ","ジョブポスト","ジョブポスト","","","パートタイム"
"倉庫内・軽作業／倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-270","シフトワークス","￥1,140","",""
"【勤務地：千葉県流山市】◆高時給1500円以上可能！◆週3日～5日！働き方自由です(*'ω'*)作業は超カンタン★≪DVD≫などのピッキング★","50-NGY　MAXPLPHA(株)","マックスアルファ","￥1,200","￥1,725","フルタイム"
"梱包・仕分け・ピッキング 入出庫・商品管理・検品","㈱信光物流　三郷中央センター","Job-Gear.net","￥1000","￥1200","パートタイム"
"梱包シール貼り検品倉庫内軽作業","角川流通倉庫株式会社","engage","￥1,050","￥1,100","パートタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(夜勤)-193","らくらくアルバイト","￥1,140","","パートタイム"
"配送・物流・在庫管理スタッフ","ジョブポスト","ジョブポスト","","","パートタイム"
"未経験でもOK・軽作業/ピッキング・倉庫内","320-NGY　MAXPLPHA(株)","マックスアルファ","￥1,200","￥1,725","フルタイム"
"倉庫スタッフ","エヌエス・ジャパン株式会社(アマゾン流山/軽作業スタッフ)(日勤)-035","らくらくアルバイト","￥1,140","","パートタイム"
"大手通販サイトの物流倉庫で軽作業","大手通販サイトの流山倉庫　　《マックスアルファ株式会社》","しゅふＪＯＢ","￥1200","￥1500",""
"梱包・仕分け・ピッキング","アデアム株式会社","Job-Gear.net","￥1,150","￥1,800","フルタイム"
"倉庫管理","株式会社吉田倉庫","engage","","","契約社員"
"配送・物流・在庫管理スタッフ","ジョブポスト","ジョブポスト","","","パートタイム"
